Date,Time,Temp,Condition,Wind,Direction,Humidity,Barometer,Visibility
7/1/21,01:00,20 °C,Fog.,No wind,↑,83%,1012 mbar,9 km
7/1/21,04:00,19 °C,Fog.,No wind,↑,85%,1011 mbar,9 km
7/1/21,07:00,18 °C,Fog.,No wind,↑,90%,1013 mbar,8 km
7/1/21,10:00,25 °C,Haze.,No wind,↑,62%,1014 mbar,8 km
7/1/21,13:00,31 °C,Haze.,4 km/h,↑,49%,1009 mbar,9 km
7/1/21,16:00,32 °C,Haze.,No wind,↑,47%,1007 mbar,9 km
7/1/21,19:00,28 °C,Fog.,No wind,↑,66%,1008 mbar,9 km
7/1/21,22:00,25 °C,Fog.,No wind,↑,76%,1010 mbar,9 km
8/1/21,01:00,23 °C,Fog.,No wind,↑,84%,1010 mbar,9 km
8/1/21,04:00,22 °C,Fog.,No wind,↑,82%,1010 mbar,9 km
8/1/21,07:00,22 °C,Fog.,No wind,↑,86%,1012 mbar,9 km
8/1/21,10:00,24 °C,Fog.,4 km/h,↑,75%,1014 mbar,9 km
8/1/21,13:00,30 °C,Partly sunny.,6 km/h,↑,54%,1010 mbar,9 km
8/1/21,16:00,31 °C,Haze.,6 km/h,↑,52%,1008 mbar,9 km
8/1/21,19:00,27 °C,Clear.,No wind,↑,64%,1010 mbar,9 km
8/1/21,22:00,25 °C,Fog.,No wind,↑,74%,1013 mbar,9 km
9/1/21,01:00,24 °C,Fog.,4 km/h,↑,76%,1013 mbar,9 km
9/1/21,07:00,20 °C,Fog.,No wind,↑,91%,1013 mbar,9 km
9/1/21,10:00,26 °C,Haze.,9 km/h,↑,65%,1014 mbar,9 km
9/1/21,13:00,29 °C,Partly sunny.,7 km/h,↑,52%,1011 mbar,9 km
9/1/21,16:00,29 °C,Overcast.,4 km/h,↑,53%,1009 mbar,10 km
9/1/21,19:00,27 °C,Overcast.,7 km/h,↑,58%,1011 mbar,10 km
9/1/21,22:00,24 °C,Fog.,6 km/h,↑,65%,1013 mbar,9 km
10/1/21,01:00,22 °C,Fog.,4 km/h,↑,66%,1013 mbar,9 km
10/1/21,04:00,22 °C,Fog.,No wind,↑,70%,1012 mbar,9 km
10/1/21,07:00,21 °C,Fog.,No wind,↑,77%,1014 mbar,9 km
10/1/21,10:00,26 °C,Haze.,6 km/h,↑,54%,1014 mbar,9 km
10/1/21,13:00,28 °C,Haze.,4 km/h,↑,46%,1011 mbar,9 km
10/1/21,16:00,30 °C,Haze.,4 km/h,↑,46%,1008 mbar,9 km
10/1/21,19:00,27 °C,Overcast.,No wind,↑,56%,1009 mbar,9 km
10/1/21,22:00,24 °C,Haze.,4 km/h,↑,63%,1012 mbar,9 km
11/1/21,01:00,23 °C,Haze.,6 km/h,↑,61%,1013 mbar,9 km
11/1/21,04:00,23 °C,Overcast.,No wind,↑,63%,1012 mbar,9 km
11/1/21,07:00,21 °C,Fog.,No wind,↑,77%,1015 mbar,8 km
11/1/21,10:00,26 °C,Sunny.,6 km/h,↑,51%,1017 mbar,8 km
11/1/21,13:00,29 °C,Sunny.,4 km/h,↑,47%,1013 mbar,8 km
11/1/21,16:00,30 °C,Sunny.,4 km/h,↑,46%,1010 mbar,8 km
11/1/21,19:00,27 °C,Overcast.,4 km/h,↑,55%,1012 mbar,8 km
11/1/21,22:00,26 °C,Overcast.,4 km/h,↑,59%,1015 mbar,8 km
12/1/21,01:00,24 °C,Overcast.,4 km/h,↑,56%,1016 mbar,8 km
12/1/21,04:00,23 °C,Overcast.,4 km/h,↑,58%,1015 mbar,8 km
12/1/21,07:00,21 °C,Overcast.,4 km/h,↑,64%,1018 mbar,8 km
12/1/21,10:00,18 °C,Overcast.,11 km/h,↑,64%,1021 mbar,8 km
12/1/21,13:00,18 °C,Overcast.,17 km/h,↑,64%,1020 mbar,9 km
12/1/21,16:00,17 °C,Overcast.,13 km/h,↑,64%,1019 mbar,9 km
12/1/21,19:00,16 °C,Fog.,9 km/h,↑,68%,1019 mbar,9 km
12/1/21,22:00,16 °C,Fog.,7 km/h,↑,72%,1019 mbar,9 km
13/1/21,01:00,15 °C,Fog.,19 km/h,↑,68%,1020 mbar,9 km
13/1/21,04:00,15 °C,Fog.,11 km/h,↑,69%,1018 mbar,9 km
13/1/21,07:00,15 °C,Fog.,9 km/h,↑,71%,1019 mbar,9 km
13/1/21,10:00,16 °C,Fog.,4 km/h,↑,67%,1021 mbar,9 km
13/1/21,13:00,20 °C,Overcast.,4 km/h,↑,59%,1017 mbar,9 km
13/1/21,16:00,21 °C,Overcast.,No wind,↑,58%,1014 mbar,9 km
13/1/21,19:00,18 °C,Fog.,No wind,↑,79%,1014 mbar,9 km
13/1/21,22:00,16 °C,Fog.,No wind,↑,85%,1016 mbar,9 km
